domain	fn_color	fn_is_fake
bostonleader.com	black	1.0
breakingtop.world	black	1.0
burrardstreetjournal.com	black	1.0
butthatsnoneofmybusiness.com	black	1.0
buzzfeedusa.com	black	1.0
cartelpress.com	black	1.0
cartelreport.com	black	1.0
celebtricity.com	black	1.0
channel16news.com	black	1.0
channel17news.com	black	1.0
channel18news.com	black	1.0
channel22news.com	black	1.0
channel23news.com	black	1.0
channel28news.com	black	1.0
channel34news.com	black	1.0
channel45news.com	black	1.0
channel5000.com	black	1.0
choiceandtruth.com	black	1.0
christiantimesnewspaper.com	black	1.0
christiantoday.info	black	1.0
chuckcallesto.blogspot.com	black	1.0
civictribune.com	black	1.0
clancyreport.com	black	1.0
clashdaily.com	black	1.0
clear-politics.com	black	1.0
cnn.com.de	black	1.0
cnnews3.com	black	1.0
consciouslyenlightened.com	black	1.0
conservativearmy88.com	black	1.0
conservativedailypost.com	black	1.0
conservativeflashnews.com	black	1.0
conservativeinfocorner.com	black	1.0
conservativeinsider.co	black	1.0
conservativespirit.com	black	1.0
conservativestudio.com	black	1.0
consnation.com	black	1.0
cooltobeconservative.com	black	1.0
daily-sun.com	black	1.0
dailycurrant.com	black	1.0
dailyfinesser.com	black	1.0
dailyinfobox.com	black	1.0
dailyinsidernews.com	black	1.0
dailynews10.com	black	1.0
dailynews11.com	black	1.0
dailynews3.com	black	1.0
dailynews33.com	black	1.0
dailynews5.com	black	1.0
dailynewsposts.info	black	1.0
dailyoccupation.com	black	1.0
dailypresser.com	black	1.0
dailysurge.com	black	1.0
dailyusaupdate.com	black	1.0
damnleaks.com	black	1.0
democraticmoms.com	black	1.0
denverguardian.com	black	1.0
denverinquirer.com	black	1.0
departed.co	black	1.0
departedmedia.com	black	1.0
dineal.com	black	1.0
disclose.tv	black	1.0
diyhours.net	black	1.0
donaldtrumpnews.co	black	1.0
donaldtrumppotus45.com	black	1.0
drugsofficial.com	black	1.0
embols.com	black	1.0
empireherald.com	black	1.0
empirenews.net	black	1.0
empiresports.co	black	1.0
en-volve.com	black	1.0
en.mediamass.net	black	1.0
endingthefed.com	black	1.0
enhlive.com	black	1.0
everydaybreakingnews.com	black	1.0
everynewshere.com	black	1.0
famousviralstories.com	black	1.0
fanzinger.com	black	1.0
federalistnation.com	black	1.0
federalisttribune.com	black	1.0
fedsalert.com	black	1.0
flashinfo.org	black	1.0
flashnewscorner.com	black	1.0
floridasunpost.com	black	1.0
focusnews.info	black	1.0
folksvideo.com	black	1.0
fox-news24.com	black	1.0
france.actualites.co	black	1.0
freddymag.com	black	1.0
freedomcrossroads.us	black	1.0
freedomdaily.com	black	1.0
freedomsfinalstand.com	black	1.0
freshdailyreport.com	black	1.0
friendsofsyria.wordpress.com	black	1.0
givemeliberty01.com	black	1.0
globalassociatednews.com	black	1.0
globalpoliticsnow.com	black	1.0
greenvillegazette.com	black	1.0
guerilla.news	black	1.0
guerillanews.com	black	1.0
gummypost.com	black	1.0
halturnershow.com	black	1.0
headlinebrief.com	black	1.0
healthyworldhouse.com	black	1.0
heaviermetal.net	black	1.0
hotglobalnews.com	black	1.0
houstonchronicle-tv.com	black	1.0
huzlers.com	black	1.0
ilovemyfreedom.org	black	1.0
interestingdailynews.com	black	1.0
intrendtoday.com	black	1.0
ipatriot.com	black	1.0
isthatlegit.com	black	1.0
jokerviral.com	black	1.0
kata33.com	black	1.0
klponews.com	black	1.0
km8news.com	black	1.0
kmt11.com	black	1.0
knp7.com	black	1.0
konkonsagh.biz	black	1.0
krbcnews.com	black	1.0
kspm33.com	black	1.0
kupr7.com	black	1.0
ky12news.com	black	1.0
ky6news.com	black	1.0
kypo6.com	black	1.0
ladylibertysnews.com	black	1.0
landrypost.com	black	1.0
lastdeplorables.com	black	1.0
liberalplug.com	black	1.0
liberty-courier.com	black	1.0
libertyalliance.com	black	1.0
libertywritersnews.com	black	1.0
local31news.com	black	1.0
localnews33.com	black	1.0
londonwebnews.com	black	1.0
lopezreport.com	black	1.0
madworldnews.com	black	1.0
mainerepublicemailalert.com	black	1.0
majorthoughts.com	black	1.0
maywoodpost.com	black	1.0
mbynews.com	black	1.0
mckenziepost.com	black	1.0
mediazone.news	black	1.0
metropolitanworlds.com	black	1.0
mississippiherald.com	black	1.0
morningnewsusa.com	black	1.0
mrnewswatch.com	black	1.0
msfanpage.link	black	1.0
msnbc.website	black	1.0
nationalinsiderpolitics.com	black	1.0
nationalreport.net	black	1.0
nbc.com.co	black	1.0
ncscooper.com	black	1.0
neonnettle.com	black	1.0
nephef.com	black	1.0
nevo.news	black	1.0
newpoliticstoday.com	black	1.0
news14kgpn.com	black	1.0
news14now.com	black	1.0
news4ktla.com	black	1.0
newsbiscuit.com	black	1.0
newsbreakingspipe.com	black	1.0
newsbreakshere.com	black	1.0
newsbuzzdaily.com	black	1.0
newsbysquad.com	black	1.0
newsdaily10.com	black	1.0
newsdaily12.com	black	1.0
newsdaily27.com	black	1.0
newsexaminer.net	black	1.0
newsfeedhunter.com	black	1.0
newsfeedobserver.com	black	1.0
newshubs.info	black	1.0
newsjustforyou1.blogspot.com	black	1.0
newsleak.co	black	1.0
newslo.com	black	1.0
newsnow17.com	black	1.0
newswatch33.com	black	1.0
newzmagazine.com	black	1.0
notallowedto.com	black	1.0
noticias365.info	black	1.0
now8news.com	black	1.0
nymeta.co	black	1.0
occupydemocrats.com	black	1.0
onepoliticalplaza.com	black	1.0
openmagazines.com	black	1.0
oreillypost.com	black	1.0
ourlandofthefree.com	black	1.0
paris.actualites.co	black	1.0
patriothangout.com	black	1.0
persecutes.com	black	1.0
politicops.com	black	1.0
politicot.com	black	1.0
politicsusanews.com	black	1.0
powerdaily.us	black	1.0
president45donaldtrump.com	black	1.0
pressunion.org	black	1.0
prntly.com	black	1.0
proudleader.com	black	1.0
qualitysharing.com	black	1.0
react365.com	black	1.0
readconservatives.news	black	1.0
realnewsrightnow.com	black	1.0
redcountry.us	black	1.0
redinfo.us	black	1.0
redrocktribune.com	black	1.0
redstatewatcher.com	black	1.0
religionmind.com	black	1.0
rickwells.us	black	1.0
rilenews.com	black	1.0
rogue-nation3.com	black	1.0
rumorjournal.com	black	1.0
satiratribune.com	black	1.0
scrapetv.com	black	1.0
smhwtfnews.com	black	1.0
snoopack.com	black	1.0
socialeverythings.com	black	1.0
southernconservativeextra.com	black	1.0
spinzon.com	black	1.0
statenation.co	black	1.0
states-tv.com	black	1.0
stgeorgegazette.com	black	1.0
straightstoned.com	black	1.0
stuppid.com	black	1.0
success-street.com	black	1.0
supremepatriot.com	black	1.0
tdnewswire.com	black	1.0
tdtalliance.com	black	1.0
teddystick.com	black	1.0
telegraphsun.com	black	1.0
the-insider.co	black	1.0
the-postillon.com	black	1.0
theavocadonews.com	black	1.0
thebostontribune.com	black	1.0
thebreakingnews.co	black	1.0
theexaminer.site	black	1.0
thefrt.com	black	1.0
theinternationalreporter.org	black	1.0
theinternetpost.net	black	1.0
thelastlineofdefense.org	black	1.0
themoralofthestory.us	black	1.0
thenationalsun.com	black	1.0
thenet24h.com	black	1.0
thenewsnerd.com	black	1.0
thenewyorkevening.com	black	1.0
thenochill.com	black	1.0
thepoliticaltribune.com	black	1.0
thepremiumnews.com	black	1.0
theracketreport.com	black	1.0
thereporterz.com	black	1.0
therightists.com	black	1.0
theseattletribune.com	black	1.0
thetrumpmedia.com	black	1.0
theusa-news.com	black	1.0
theusaconservative.com	black	1.0
thevalleyreport.com	black	1.0
thewashingtonpress.com	black	1.0
times.com.mx	black	1.0
tmzbreaking.com	black	1.0
tmzbusiness.com	black	1.0
tmzcomedy.com	black	1.0
tmzhiphop.com	black	1.0
tmzuncut.com	black	1.0
tmzurban.com	black	1.0
tmzworldnews.com	black	1.0
tmzworldstarnews.com	black	1.0
trueamericans.me	black	1.0
truetrumpers.com	black	1.0
truthkings.com	black	1.0
undergroundnewsreport.com	black	1.0
unitedmediapublishing.com	black	1.0
universepolitics.com	black	1.0
usa-conservative.com	black	1.0
usa-radio.com	black	1.0
usa-television.com	black	1.0
usadailyinfo.com	black	1.0
usadailypost.us	black	1.0
usadailytime.com	black	1.0
usadosenews.com	black	1.0
usafirstinformation.com	black	1.0
usanews4u.us	black	1.0
usanewsflash.com	black	1.0
usanewshome.com	black	1.0
usanewstoday.com	black	1.0
usapolitics24hrs.com	black	1.0
usapoliticsnow.com	black	1.0
usapoliticstoday.com	black	1.0
usapoliticszone.com	black	1.0
usasnich.com	black	1.0
usatodaynews.me	black	1.0
usatodaypolitics.com	black	1.0
usaworldbox.com	black	1.0
ushealthyadvisor.com	black	1.0
ushealthylife.com	black	1.0
usherald.com	black	1.0
usinfonews.com	black	1.0
uspoln.com	black	1.0
uspostman.com	black	1.0
vesselnews.io	black	1.0
viralactions.com	black	1.0
viralcocaine.com	black	1.0
viralcords.com	black	1.0
viraldevil.com	black	1.0
viralmugshot.com	black	1.0
viralpropaganda.com	black	1.0
viralspeech.com	black	1.0
viralstuppid.com	black	1.0
voxtribune.com	black	1.0
washingtonevening.com	black	1.0
washingtonfeed.com	black	1.0
washingtonpost.com.co	black	1.0
wazanews.tk	black	1.0
wcpm3.com	black	1.0
weconservative.com	black	1.0
weekendherald.com	black	1.0
wetheproudpatriots.com	black	1.0
wftj8news.com	black	1.0
whatsupic.com	black	1.0
witscience.org	black	1.0
wleb21.com	black	1.0
wm21news.com	black	1.0
wmacnews.com	black	1.0
wmb36.com	black	1.0
world-politicus.com	black	1.0
worldinformation24.info	black	1.0
worldnewsdailyreport.com	black	1.0
worldnewspolitics.com	black	1.0
worldpoliticsnow.com	black	1.0
worldpoliticus.com	black	1.0
wrejnews.com	black	1.0
wrpt16.com	black	1.0
wtoe5news.com	black	1.0
xbn-news.com	black	1.0
yesimright.com	black	1.0
yournewswire.com	black	1.0
zootfeed.com	black	1.0
